#backboris
#bbcqt
#borisjohnson
#brexit
#changepolitics
#changepoliticsforgood
#conservatives
#ditchthetories
#election
#election2019
#forthemany
#ge19
#ge2019
#generalelection
#generalelection19
#generalelection2019
#justvote
#labour
#libdem
#peoplesvote
#registertovote
#snapelection
#tacticalvote
#thistimeimvoting
#toriesout
#tory
#voteconservative
#votelabour
#votelabour2019
#votesnp
#votetactically
#votetogether
#voteukip
@10downingstreet
@borisjohnson
@brexitparty_uk
@carolinelucas
@conservatives
@forchange_now
@ianblackfordmp
@jeremycorbyn
@joswinson
@libdems
@nicolasturgeon
@nigel_farage
@richardbraine
@tacticalvote
@thegreenparty
@thesnp
@ukip
@uklabour
boris johnson
boris_johnson
borisjohnson
caroline lucas
caroline_lucas
carolinelucas
general election
ian blackford
ian_blackford
ianblackford
jeremy corbyn
jeremy_corbyn
jeremycorbyn
jo swinson
jo_swinson
joswinson
nicola sturgeon
nicola_sturgeon
nicolasturgeon
nigel farage
nigel_farage
nigelfarage
richard braine
richard_braine
richardbraine
snap election
