screenName
10DowningStreet
TacticalVote
brexitparty_uk
Conservatives
LibDems
theSNP
UKLabour
TheGreenParty
ForChange_Now
UKIP
jeremycorbyn
IanBlackfordMP
NicolaSturgeon
BorisJohnson
joswinson
Nigel_Farage
CarolineLucas
richardbraine
